property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,dlf express greens,manesar,1.6 Crore,6808.0,Carpet area: 2350 (218.32 sq.m.),4,6,3+,4.0,North-East,1 to 5 Year Old,,,,2350.0,1,1,0,1,0,0,49
flat,indiabulls centrum park,sector 103,1.2 Crore,8432.0,Super Built up area 1423(132.2 sq.m.),2,2,3,3.0,North-East,5 to 10 Year Old,,1423.0,,,0,0,0,0,0,0,26
flat,m3m heights,sector 65,2.01 Crore,13500.0,Super Built up area 1516(140.84 sq.m.)Carpet area: 1433 sq.ft. (133.13 sq.m.),2,2,3,8.0,North-East,Within 3 months,,1516.0,,1433.0,1,0,0,0,0,0,44
house,,sector 2,0.4,7619.0,Carpet area: 525 (48.77 sq.m.),2,2,1,1.0,,1 to 5 Year Old,525.0,,,525.0,0,0,0,0,0,0,0
flat,umang monsoon breeze,sector 78,95 Lac,5491.0,Built Up area: 1730 (160.72 sq.m.),3,3,2,9.0,East,1 to 5 Year Old,,,1730.0,,0,0,0,0,0,1,65
house,,sector 41,11.0,33951.0,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,0 to 1 Year Old,3240.0,,360.0,,1,1,0,1,0,1,35
flat,breeze global heights,sector 33,40 Lac,6421.0,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,2,4.0,,undefined,,,623.0,599.0,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,1.6 Crore,13913.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,3.0,,Dec 2023,,,,1150.0,1,0,0,0,0,0,37
flat,tulip ivory,sector 70,2 Crore,8333.0,Super Built up area 2400(222.97 sq.m.),4,5,3+,2.0,South-East,1 to 5 Year Old,,2400.0,,,0,1,0,0,0,1,49
flat,chd avenue,sector 71,1.35 Crore,5744.0,Super Built up area 2350(218.32 sq.m.),4,4,3,8.0,North-West,5 to 10 Year Old,,2350.0,,,0,1,0,0,0,0,26
flat,godrej nature plus,sector 33,1.5 Crore,10200.0,Carpet area: 1385 (128.67 sq.m.),2,2,3+,2.0,South-East,Jun 2025,,,,1385.0,0,0,0,0,0,0,87
flat,mapsko mount ville,sector 79,1.3 Crore,8024.0,Super Built up area 1620(150.5 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3+,1.0,North-East,1 to 5 Year Old,,1620.0,,863.91,0,0,0,0,0,1,140
flat,m3m golfestate,sector 65,5.9 Crore,17543.0,Super Built up area 3363(312.43 sq.m.),3,3,3,9.0,,5 to 10 Year Old,,3363.0,,,1,0,0,0,0,2,21
house,ansal sushant lok plots,sector 43,7.0,25926.0,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,1 to 5 Year Old,2700.0,,300.0,,1,1,0,1,0,1,41
house,,sector 12,1.7,9444.0,Built Up area: 200 (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),3,3,0,1.0,,undefined,1800.0,,200.0,180.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.75 Crore,8883.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,North-West,1 to 5 Year Old,,1970.0,,,0,0,0,0,0,0,86
house,dlf alameda,sector 73,17.0,35109.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,1 to 5 Year Old,4842.0,,9000.0,,1,1,1,1,0,2,87
flat,adani aangan arcade,sector 89,50 Lac,7763.0,Built Up area: 672 (62.43 sq.m.)Carpet area: 644 sq.ft. (59.83 sq.m.),2,2,1,4.0,,1 to 5 Year Old,,,672.0,644.0,0,0,0,0,0,2,69
flat,la vida by tata housing,sector 113,1.85 Crore,11716.0,Super Built up area 1579(146.69 sq.m.),3,2,2,7.0,East,0 to 1 Year Old,,1579.0,,,0,0,0,0,0,0,13
flat,bestech park view spa next,sector 67,3.32 Crore,12599.0,Super Built up area 2635(244.8 sq.m.),4,5,3+,12.0,West,5 to 10 Year Old,,2635.0,,,0,1,0,0,0,1,174
house,,manesar,0.8,6666.0,Plot area 1200(111.48 sq.m.),8,8,2,1.0,,1 to 5 Year Old,1200.0,,1200.0,,0,0,0,0,0,0,0
house,,sector 43,4.5,39062.0,Plot area 128(107.02 sq.m.),20,20,3+,4.0,East,1 to 5 Year Old,1152.0,,128.0,,0,1,0,0,0,2,22
flat,shree vardhman victoria,sector 70,1.23 Crore,9111.0,Super Built up area 1350(125.42 sq.m.),2,2,3,1.0,North-East,1 to 5 Year Old,,1350.0,,,1,0,0,0,0,0,43
flat,m3m golfestate,sector 65,5 Crore,16666.0,Super Built up area 3246(301.56 sq.m.)Built Up area: 3245 sq.ft. (301.47 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),3,3,3,2.0,East,1 to 5 Year Old,,3246.0,3245.0,3000.0,0,1,0,0,0,1,174
flat,smart world orchard,sector 61,1.55 Crore,13478.0,Super Built up area 1150(106.84 sq.m.),2,2,1,3.0,,By 2023,,1150.0,,,1,0,0,0,0,0,43
flat,tata primanti,sector 72,3.4 Crore,15560.0,Super Built up area 2185(202.99 sq.m.),3,4,3+,9.0,,5 to 10 Year Old,,2185.0,,,0,1,0,0,0,0,38
house,unitech palms south city 1,sector 41,9.25,28549.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,North,5 to 10 Year Old,3240.0,,5000.0,4500.0,1,1,1,1,0,1,65
house,suncity avenue 76,sector 76,0.75,10067.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),2,2,2,11.0,North-East,Within 6 months,745.0,,745.0,,0,0,0,0,0,0,40
flat,gls arawali homes,sohna road,26 Lac,4513.0,Carpet area: 576 (53.51 sq.m.),2,2,2,4.0,,1 to 5 Year Old,,,,576.0,0,0,0,0,0,0,42
flat,dlf the primus,sector 82a,1.8 Crore,13846.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,10.0,North-East,1 to 5 Year Old,,1818.0,,1300.0,0,1,0,0,0,2,174
flat,experion the heartsong,sector 108,2.28 Crore,8204.0,Super Built up area 2779(258.18 sq.m.),4,5,3+,8.0,North,1 to 5 Year Old,,2779.0,,,0,0,0,0,0,0,101
flat,suncity avenue,sector 102,47.5 Lac,8928.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,South-East,1 to 5 Year Old,,632.0,,532.0,0,0,1,0,0,0,142
flat,hsiidc sidco shivalik apartments,manesar,60 Lac,4000.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1077 sq.ft. (100.06 sq.m.),3,2,2,5.0,South-East,5 to 10 Year Old,,1500.0,,1077.0,0,0,0,0,0,0,80
flat,ireo skyon,sector 60,3 Crore,12484.0,Super Built up area 2403(223.25 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,5.0,North-East,1 to 5 Year Old,,2403.0,2400.0,2200.0,0,1,0,0,0,1,174
house,"bhim nagar, sector 6",sector 6,0.85,126865.0,Plot area 67(6.22 sq.m.),5,2,2,1.0,,10+ Year Old,67.0,,67.0,,0,0,0,1,0,0,29
flat,vatika emilia floors,sector 83,60 Lac,5714.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,1.0,South,1 to 5 Year Old,,1050.0,990.0,950.0,0,0,0,0,0,1,167
flat,ats triumph,sector 104,1.73 Crore,7554.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,15.0,North-East,1 to 5 Year Old,,2290.0,,,0,1,0,0,0,0,159
flat,bptp freedom park life,sector 57,2.5 Crore,11111.0,Super Built up area 2250(209.03 sq.m.),3,3,3,9.0,,5 to 10 Year Old,,2250.0,,,0,0,0,0,0,0,55
flat,experion windchants,sector 112,2.8 Crore,11470.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,3,2,9.0,South-East,1 to 5 Year Old,,2441.0,1939.03,1800.0,1,1,0,0,0,0,137
house,,sector 3,0.9,10000.0,Plot area 900(83.61 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.),3,4,3,3.0,,5 to 10 Year Old,900.0,,3500.0,,0,0,0,0,1,1,42
flat,mahindra aura,sector 110,2.25 Crore,9266.0,Super Built up area 2428(225.57 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),4,4,3+,2.0,South-West,1 to 5 Year Old,,2428.0,2350.0,2050.0,0,1,0,0,0,0,152
house,palam vihar extension west zone rwa,sector 2,0.65,5777.0,Plot area 1125(104.52 sq.m.),2,2,1,1.0,North,5 to 10 Year Old,1125.0,,1125.0,,0,0,1,0,0,0,23
flat,m3m skywalk,sector 74,1.5 Crore,10714.0,Carpet area: 1400 (130.06 sq.m.),2,2,1,8.0,,0 to 1 Year Old,,,,1400.0,0,0,0,0,0,0,16
flat,orris carnation residency,sector 85,90 Lac,6428.0,Super Built up area 1485(137.96 sq.m.)Built Up area: 1402 sq.ft. (130.25 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,,1 to 5 Year Old,,1485.0,1402.0,1400.0,0,0,0,0,0,0,120
flat,dlf regal gardens,sector 90,1.26 Crore,7403.0,Super Built up area 1702(158.12 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,6.0,North-East,1 to 5 Year Old,,1702.0,,1500.0,0,0,0,0,1,1,28
flat,m3m woodshire,sector 107,82 Lac,6002.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,7.0,North-East,1 to 5 Year Old,,1366.0,,,0,0,0,0,0,0,111
flat,ss,sector 85,1.19 Crore,7121.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1670 sq.ft. (155.15 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),2,2,3,11.0,West,1 to 5 Year Old,,1671.0,1670.0,1660.0,0,0,0,0,0,0,49
flat,bhemerlei,sohna road,68.85 Lac,5100.0,Built Up area: 1350 (125.42 sq.m.),2,2,2,3.0,,Under Construction,,,1350.0,,0,0,0,0,0,0,0
flat,godrej icon,sector 88a,1.31 Crore,8100.0,Super Built up area 1617(150.22 sq.m.),2,2,3+,3.0,North-West,1 to 5 Year Old,,1617.0,,,1,0,0,0,0,0,102
flat,microtek greenburg,sector 86,1.23 Crore,8310.0,Super Built up area 1480(137.5 sq.m.),2,2,3,13.0,South,1 to 5 Year Old,,1480.0,,,1,0,0,0,0,0,6
flat,mapsko casa bella,sector 82,3 Crore,6134.0,Super Built up area 4890(454.3 sq.m.),4,6,3+,25.0,West,1 to 5 Year Old,,4890.0,,,0,1,0,1,0,1,119
flat,suposhaa smartworld orchard,sector 61,2.17 Crore,14000.0,Carpet area: 1549 (143.91 sq.m.),3,3,3,1.0,,Under Construction,,,,1549.0,0,0,0,0,0,0,0
flat,puri diplomatic greens,sector 111,3.7 Crore,12542.0,Super Built up area 2950(274.06 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2450 sq.ft. (227.61 sq.m.),4,5,3+,12.0,South-East,1 to 5 Year Old,,2950.0,2650.0,2450.0,0,1,0,0,0,1,158
house,,sector 26,4.5,33333.0,Plot area 150(125.42 sq.m.),3,3,2,2.0,West,10+ Year Old,1350.0,,150.0,,0,0,0,1,0,1,58
house,,sector 28,12.0,42194.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,1 to 5 Year Old,2844.0,,316.0,,0,1,1,1,0,1,60
flat,gls arawali homes,sohna road,28 Lac,5982.0,Carpet area: 468 (43.48 sq.m.),2,2,2,3.0,,1 to 5 Year Old,,,,468.0,0,0,0,0,0,0,42
flat,pareena mi casa,sector 68,1.7 Crore,8500.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23.0,,0 to 1 Year Old,,1999.0,,,0,0,0,0,0,0,88
house,eros rosewood city,sector 49,1.6,31481.0,Plot area 60(50.17 sq.m.),4,4,3,4.0,East,0 to 1 Year Old,508.0,,60.0,,0,0,0,0,0,1,27
flat,unitech uniworld gardens,sector 47,2.4 Crore,11505.0,Super Built up area 2086(193.8 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,East,5 to 10 Year Old,,2086.0,,1750.0,0,1,0,0,0,0,103
flat,sidhartha ncr one phase,sector 95,55 Lac,4867.0,Carpet area: 1130 (104.98 sq.m.),2,2,2,14.0,,0 to 1 Year Old,,,,1130.0,1,0,0,0,0,0,90
flat,smart world gems,sector 89,85 Lac,7706.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,2.0,North-East,Jan 2024,,,,1103.0,1,0,0,0,0,0,45
flat,emaar mgf emerald floors premier,sector 65,2.79 Crore,14126.0,Carpet area: 1975 (183.48 sq.m.),4,4,3+,2.0,South-West,1 to 5 Year Old,,,,1975.0,1,1,0,0,0,2,174
flat,supertech hues,sector 68,90 Lac,7627.0,Carpet area: 1180 (109.63 sq.m.),2,2,2,1.0,East,0 to 1 Year Old,,,,1180.0,0,0,0,0,0,0,44
flat,palam vihar society,sector 2,3.35 Crore,7444.0,Carpet area: 4500 (418.06 sq.m.),4,4,3+,2.0,,0 to 1 Year Old,,,,4500.0,1,0,0,0,0,0,66
flat,piedmont taksila heights,sector 37c,90 Lac,5855.0,Built Up area: 1537 (142.79 sq.m.),3,3,3,9.0,South-West,5 to 10 Year Old,,,1537.0,,0,0,0,0,0,1,94
flat,tulip violet,sector 69,1.43 Crore,8886.0,Super Built up area 1608(149.39 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),3,3,2,1.0,South-West,1 to 5 Year Old,,1608.0,,1039.0,0,0,0,1,0,0,86
flat,central park flower valley aqua front towers,sector 33,2.96 Crore,13870.0,Carpet area: 2134 (198.26 sq.m.),4,4,3,1.0,,0 to 1 Year Old,,,,2134.0,0,1,0,0,0,1,24
flat,hsiidc sidco aravali,manesar,91 Lac,3516.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8.0,East,5 to 10 Year Old,,2588.0,1900.0,,0,1,0,0,0,0,23
flat,ashiana mulberry,sohna road,95 Lac,6485.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2,2,3+,3.0,,0 to 1 Year Old,,1465.0,1175.97,834.96,1,0,0,0,0,0,89
house,dlf city phase 1,sector 26,5.5,30556.0,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,5 to 10 Year Old,1800.0,,200.0,,1,1,0,1,0,0,69
flat,orchid petals,sector 49,1.95 Crore,9972.0,Super Built up area 1805(167.69 sq.m.),3,3,3,2.0,East,10+ Year Old,,1805.0,,,0,0,0,0,0,1,90
flat,orchid petals,sector 49,4.21 Crore,11835.0,Super Built up area 3557(330.46 sq.m.),5,6,3+,14.0,South-East,1 to 5 Year Old,,3557.0,,,0,1,0,1,0,0,35
flat,antriksh green,sector 45,2.25 Crore,7826.0,Carpet area: 2875 (267.1 sq.m.),4,4,2,9.0,North,10+ Year Old,,,,2875.0,0,1,0,0,0,2,23
flat,emaar palm gardens,sector 83,1.48 Crore,7789.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,7.0,East,1 to 5 Year Old,,1900.0,,1240.04,0,1,0,0,0,0,66
flat,ats marigold,sector 89,1.85 Crore,8604.0,Super Built up area 2150(199.74 sq.m.),3,3,3+,12.0,South-West,0 to 1 Year Old,,2150.0,,,0,1,0,0,0,0,37
house,,sector 43,9.85,29638.0,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,10+ Year Old,3323.0,,418.0,,1,1,0,1,0,0,21
flat,ansal housing highland park,sector 103,1.25 Crore,6443.0,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3+,2.0,North-East,0 to 1 Year Old,,1940.0,,1056.0,0,0,0,1,0,0,105
flat,m3m crown,sector 111,4.67 Crore,17000.0,Carpet area: 2750 (255.48 sq.m.),4,4,3+,8.0,,Dec 2025,,,,2750.0,0,0,0,0,0,0,73
flat,essel tower,sector 28,2.2 Crore,12500.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,,5 to 10 Year Old,,,,1760.0,0,1,0,0,0,2,0
house,sheetla enclave,sector 5,0.96,10000.0,Plot area 945(87.79 sq.m.),7,4,2,3.0,,5 to 10 Year Old,960.0,,945.0,,0,0,1,1,0,1,0
flat,conscient heritage max,sector 102,2.22 Crore,13875.0,Super Built up area 2149(199.65 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,15.0,East,1 to 5 Year Old,,2149.0,2000.0,1600.0,1,1,0,0,0,0,82
flat,emaar mgf the palm drive,sector 66,3.45 Crore,15681.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,4,3,6.0,East,1 to 5 Year Old,,2200.0,2000.0,1800.0,0,1,0,0,0,1,95
flat,conscient heritage max,sector 102,2.15 Crore,9306.0,Super Built up area 2149(199.65 sq.m.),3,4,3,13.0,South,1 to 5 Year Old,,2149.0,,,1,1,0,0,0,0,101
flat,dlf the skycourt,sector 86,1.6 Crore,8294.0,Super Built up area 1929(179.21 sq.m.),3,3,1,14.0,North-East,1 to 5 Year Old,,1929.0,,,0,0,0,1,0,0,72
flat,shree vardhman victoria,sector 70,1.55 Crore,7948.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,6.0,South-East,1 to 5 Year Old,,1950.0,,1161.0,1,1,0,1,1,0,49
flat,orris carnation residency,sector 85,54.99 Lac,5788.0,Super Built up area 1115(103.59 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,5.0,North-East,1 to 5 Year Old,,1115.0,1050.0,950.0,0,0,0,0,1,0,174
house,,sector 39,15.0,33333.0,Plot area 500(418.06 sq.m.),5,5,3+,4.0,,5 to 10 Year Old,4500.0,,500.0,,0,1,0,0,0,1,27
